No. Resp;Kelas;Gender;Ability to use Media (Am);;;;;;;;;;;;;Managing digital learning Platforms (Mp);;;;;;;;;Advanced use of Digital Media (Adm);;;;;;;;;;;;;Ethics and safety in the use of digital media (Es);;;;;;;;;;;;;;
;;;Am1;Am2;Am3;Am4;Am5;Am6;Am7;Am8;Am9;Am10;Am11;Am12;Am13;Mp1;Mp2;Mp3;Mp4;Mp5;Mp6;Mp7;Mp8;Mp9;Adm1;Adm2;Adm3;Adm4;Adm5;Adm6;Adm7;Adm8;Adm9;Adm10;Adm11;Adm12;Adm13;Es1;Es2;Es3;Es4;Es5;Es6;Es7;Es8;Es9;Es10;Es11;Es12;Es13;Es14;Es15
76;1;2;3;3;3;3;3;3;3;3;3;3;4;4;3;3;3;3;3;3;5;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;1;5;3;5;3;4;3
77;3;1;3;4;3;4;3;2;4;4;4;4;4;4;3;3;3;3;3;4;3;4;4;4;3;3;3;3;3;3;3;3;4;4;3;3;3;4;4;3;4;3;4;3;4;3;4;3;2;2;2;4
78;1;1;4;3;2;4;3;3;4;4;4;5;4;4;3;2;2;2;4;4;4;3;4;4;4;2;2;4;4;4;2;4;3;2;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;2;4;4
79;1;2;4;5;5;4;5;4;5;2;2;3;3;3;2;3;4;5;5;3;1;2;1;4;2;1;2;3;3;2;2;3;1;2;3;4;3;1;1;5;3;4;3;2;2;3;4;5;1;2;3;5
80;1;1;4;4;3;4;4;4;4;4;3;4;3;4;4;4;3;3;3;4;4;3;4;4;3;3;3;3;4;4;4;4;3;4;3;3;4;4;4;4;4;3;4;4;4;5;2;3;4;4;4;4
81;1;1;3;5;4;4;4;4;5;4;4;4;4;4;4;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
82;2;2;3;4;3;5;4;4;4;3;5;4;3;4;4;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
83;2;1;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;4;4;4
84;1;1;3;4;2;3;3;4;4;4;4;3;4;4;4;2;2;3;3;2;3;3;4;4;3;3;2;3;4;4;2;3;3;3;2;2;3;4;4;4;2;3;3;4;4;3;4;3;3;2;3;4
85;2;1;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
86;2;1;4;4;4;3;4;5;5;5;5;5;3;5;5;5;5;5;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;3;3;4;4;4;4;4
87;1;1;3;3;3;3;3;2;3;3;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;2;2;3;3;3;3;3;2;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
88;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4
89;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4
90;2;1;4;4;3;3;4;4;3;2;3;3;4;5;4;4;4;4;3;4;4;4;5;4;4;4;4;5;5;5;4;5;5;4;4;4;5;5;5;4;4;4;5;5;5;4;4;5;3;5;5;5
91;2;2;4;4;3;3;4;4;3;3;3;4;3;4;4;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;4;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;4;4;3;3
92;2;2;3;1;1;1;1;3;3;3;3;3;5;5;3;4;3;4;1;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3
93;1;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;2;4;4;4;5;5;4;4;4;4;4;4;4;4;5;4;4;4;5;4;4;5;4;5;5;5;5;4
94;1;1;4;4;4;4;3;4;3;3;3;4;4;4;4;2;3;3;3;3;2;3;4;3;3;3;3;3;4;4;3;2;2;3;3;3;3;4;4;4;3;3;4;4;4;3;2;4;2;3;3;4
95;1;2;4;4;4;2;4;4;4;4;4;4;3;3;4;3;3;5;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;5;3;4;5;3;5;4;4;3;1;3;3
96;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
97;1;2;5;5;4;5;4;5;5;4;4;5;4;4;5;5;5;5;4;4;5;5;4;4;5;5;5;5;4;4;5;5;4;5;5;5;4;4;4;5;4;4;5;5;4;5;5;5;5;5;5;5
98;1;1;4;3;4;4;4;4;3;4;4;4;3;4;4;2;2;2;3;1;4;4;5;3;2;1;2;3;3;4;5;2;4;2;2;2;4;4;4;4;4;4;3;4;4;5;3;5;5;3;3;4
99;1;1;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;4;4;4;3;5;4;3;4;3;4;4;3;4;3;4;4;3;3;4;5;5;4;5;4;5;5;3;3;4;4;4;3;4;4
100;2;2;4;4;5;4;4;4;5;4;5;5;4;4;5;4;5;4;4;4;5;4;4;4;5;5;4;5;4;5;4;4;5;4;4;5;4;4;5;4;5;4;3;4;4;5;3;3;5;4;3;4
101;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;4;5;1;3;5;5;3;3;4;4;4;5;3;2;4;1;2;3;4;2;5;3;3;4;2;4;2;4;2;5;2;1;4;4;3
102;2;1;4;4;4;4;4;4;4;3;4;4;4;4;4;3;3;3;3;4;4;4;4;4;4;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4
103;1;1;3;5;4;5;3;4;3;5;5;5;5;5;5;4;3;3;3;4;5;5;5;5;4;4;5;3;5;4;5;3;3;3;5;5;4;5;5;4;5;5;1;3;3;3;5;3;3;3;3;3
104;2;2;3;4;3;3;3;3;3;3;3;4;3;4;3;4;3;3;4;3;3;3;4;3;4;3;4;3;4;3;4;3;3;4;3;4;3;4;3;4;4;3;4;3;3;4;4;1;3;4;4;3
105;1;1;4;5;4;4;5;5;4;4;4;5;4;5;5;4;4;4;4;4;4;4;5;5;4;4;4;4;4;4;5;4;3;4;4;4;4;5;5;4;4;4;4;4;4;3;3;3;5;5;5;4
106;1;1;3;3;3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;4;2;3;4;3;3;3;3;3;3;4;3;3;3;2;3;3;3;5;5;4;3;4;4;4;4;3;3;4;3;3;3;3
107;1;1;3;4;3;3;4;4;3;4;3;4;4;4;3;4;4;2;2;3;4;4;4;4;2;4;2;4;4;4;4;4;3;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;3;4;4
108;1;1;5;3;4;4;5;4;4;2;4;5;5;5;5;2;2;2;2;1;3;2;5;5;4;2;2;1;3;3;3;2;2;2;1;1;3;4;4;3;2;3;5;4;4;2;4;4;4;4;3;4
109;1;2;5;3;5;5;4;4;4;5;4;5;5;5;5;3;5;5;4;5;5;5;4;3;2;3;4;5;5;4;5;4;4;4;4;4;5;5;5;4;4;4;4;4;4;2;3;4;4;5;4;3
110;1;1;4;4;4;4;4;4;5;4;5;4;4;4;5;4;2;2;4;5;4;4;5;4;3;2;4;3;4;4;3;3;3;3;3;3;4;4;5;4;4;4;4;4;4;4;2;2;3;2;4;2
111;2;2;4;3;5;4;4;4;3;4;3;5;5;4;4;4;4;3;4;5;5;5;3;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;4;3;2
112;2;2;4;5;3;4;3;2;4;3;4;4;4;4;4;3;3;3;3;4;4;4;4;3;3;3;3;3;3;4;3;3;3;3;3;3;4;4;4;3;4;4;4;4;3;3;3;3;4;4;3;4
