Urbanization_level,Age,Self_efficacy,Inservice_training,Digital_activity,Gender,Information_skills,Teacher_type
3,38,0.8,0.2,0.5,0,1.44444444444444,0
3,30, , ,0.425,0,1.44444444444444,0
3,46,0.6,0.2,0.475,0,1.46388888888889,0
1,29, , ,0.625,1,1.47222222222222,0
3,42,0.4,0,0.575,0,1.50694444444444,0
3,40, , ,0.625,1,1.52777777777778,0
3,45, , ,0.55,0,1.54166666666667,0
1,59,0.8,0.8,0.425,0,1.58333333333333,0
2,43,1,1,0.525,0,1.58888888888889,0
3,48,0.8,0.4,0.475,0,1.59722222222222,0
3,51,1,0.6,0.55,1,1.63888888888889,0
2,34,0,0,0.55,0,1.64583333333333,0
2,56,0.4,0.2,0.55,0,1.65277777777778,0
3,34,0.6,0.2,0.425,0,1.66666666666667,0
2,51,0.8,1,0.625,1,1.67916666666667,0
2,33,0.8,0.4,0.5,1,1.69444444444444,0
3,33,1,0.8,0.6,0,1.70833333333333,0
3,36,1,1,0.525,1,1.875,0
3,45, , ,0.525,0,0.7,0
3,53, , ,0.5,0,0.708333333333333,0
1,47,0.4,0.4,0.45,0,0.972222222222222,0
1,57,1,1,0.35,1,0.977777777777778,0
3,53,0,0, ,0,0.986111111111111,0
3,54, , ,0.325,1,1.0125,0
2,29,1,0.6,0.425,0,1.01944444444444,0
3,47, , ,0.35,1,1.03333333333333,0
3,55,0.4,0,0.45,0,1.03472222222222,0
1,63, , ,0.45,1,1.03472222222222,0
3,36, , ,0.4,0,1.13888888888889,0
3,51,0,0,0.45,0,1.18055555555556,0
3,38, , ,0.55,0,1.19444444444444,0
3,38,0.8,0,0.5,0,1.20138888888889,0
1,39,1,1,0.425,0,1.20833333333333,0
2,37,1,0,0.6,0,1.22222222222222,0
1,46,1,0,0.425,0,1.22916666666667,0
3,40,0.2,0.2,0.475,0,1.24305555555556,0
3,34, , ,0.475,0,1.27777777777778,0
3,43,1,0.8,0.425,0,1.27777777777778,0
2,38,0.6,0,0.55,0,1.28472222222222,0
3,59, , ,0.55,0,1.29861111111111,0
1,55,0.2,0,0.425,0,1.33333333333333,0
3,33, , ,0.6,0,1.36111111111111,0
2,34,0.8,0.8,0.5,0,1.36805555555556,0
3,43,1,1,0.55,0,1.38888888888889,0
2,33, , ,0.525,0,1.41666666666667,0
3,41,1,0.2,0.55,1,1.41666666666667,0
2,37, , ,0.5,0,1.41666666666667,0
3,31,1,1,0.55,0,1.41666666666667,0
3,45,0,0,0.475,0,1.42222222222222,0
2,50,0.2,0,0.55,0,1.44444444444444,0
3,41,1,1,0.45,1,1.44444444444444,0
3,38,1,1,0.5,1,1.45833333333333,0
2,38, , ,0.425,0,1.45833333333333,0
2,54, , ,0.525,0,1.47222222222222,0
3,40,0.8,0.8,0.45,0,1.47916666666667,0
3,31,1,1,0.4,0,1.48611111111111,0
2,56,0.4,0,0.575,0,1.48611111111111,0
2,32, , ,0.375,0,1.49305555555556,0
2,47,0.8,0.6,0.475,0,1.5,0
2,36,0.8,0,0.6,0,1.50694444444444,0
2,41, , ,0.95,0,1.52777777777778,0
3,42,1,1,0.25,1,1.52777777777778,0
2,45,0.4,0.2,0.5,0,1.54166666666667,0
3,37, , ,0.575,1,1.54166666666667,0
2,29, , ,0.525,0,1.54166666666667,0
3,37, , ,0.55,0,1.55555555555556,0
3,32, , ,0.55,0,1.56944444444444,0
3,39,0.8,0,0.45,0,1.56944444444444,0
2,40,0.6,0.2,0.45,1,1.56944444444444,0
3,43,1,0.6,0.475,0,1.56944444444444,0
3,42,0.8,0.6,0.5,0,1.58333333333333,0
2,36, , ,0.475,0,1.58333333333333,0
3,47,0.6,0.2,0.475,0,1.59027777777778,0
2,34,0.8,0.4,0.675,1,1.59722222222222,0
3,39, , ,0.575,0,1.61111111111111,0
1,33,0.4,0.4,0.375,0,1.61111111111111,0
2,32, , ,0.4,0,1.625,0
3,38,1,0.6,0.575,0,1.625,0
3,41,1,0,0.525,0,1.63055555555556,0
2,48,1,0.6,0.6,0,1.63888888888889,0
3,34,0.4,0,0.45,0,1.63888888888889,0
1,35, , ,0.6,1,1.63888888888889,0
1,43,1,0.6,0.6,0,1.64444444444444,0
3,49,0.8,0.6,0.55,0,1.65277777777778,0
3,26,0.8,0.2,0.475,0,1.66666666666667,0
2,31, , ,0.725,0,1.66666666666667,0
3,28,1,1,0.55,1,1.69444444444444,0
3,29,1,1,0.625,0,1.70833333333333,0
3,43,1,1,0.625,0,1.72222222222222,0
1,37,1,0.6,0.6,1,1.72222222222222,0
3,35,1,0.6,0.45,0,1.72222222222222,0
1,36, , ,0.6,0,1.73611111111111,0
3,43,0.8,0.8,0.575,0,1.73611111111111,0
2,29, ,0.8,0.625,1,1.74166666666667,0
3,39,1,1,0.475,0,1.75,0
1,40,0.8,0.4,0.65,1,1.75,0
3,50,1,0.6,0.35,1,1.75,0
3,31,0.6,0,0.525,0,1.76388888888889,0
1,34,1,0.6,0.55,0,1.77777777777778,0
3,34, , ,0.4,1,1.80555555555556,0
3,41,0.8,0.8,0.575,1,1.89583333333333,0
1,43, , ,0.575,1,1.93055555555556,0
3,42, , ,0.2,1,0.083333333333333,0
3,58, , ,0.325,0,0.625,0
3,58,0,0,0.175,1,0.111111111111111,0
3,61,0.2,0,0.3,0,0.527777777777778,0
3,49,0.4,0.2,0.4,0,0.915277777777778,0
3,36, , ,0.475,0,1.26388888888889,0
3,35,0.6,0.2,0.5,0,1.54166666666667,0
1,50, , ,0.45,0,0.388888888888889,0
3,57, , ,0.25,1,0.569444444444444,0
1,38, , ,0.475,0,0.636111111111111,0
3,53, , ,0.475,1,0.770833333333333,0
3,42,1,1,0.55,1,0.820833333333333,0
1,42,0.6,0.4,0.575,0,0.866666666666667,0
3,51, , ,0.225,0,0.901388888888889,0
1,37, , ,0.45,1,0.922222222222222,0
3,39, , ,0.525,0,1.02777777777778,0
1,51,0,0,0.475,0,1.10277777777778,0
3,54, , ,0.55,1,1.11111111111111,0
1,58, , ,0.5,0,1.12222222222222,0
1,42,0,0,0.35,0,1.1375,0
3,50,0,0,0.475,0,1.34027777777778,0
1,42,1,0.6,0.55,1,1.40277777777778,0
3,27,0.8,0,0.5,1,1.40833333333333,0
3,53, , ,0.55,0,1.41666666666667,0
3,42, , ,0.65,1,1.42916666666667,0
3,39,1,0.4,0.475,1,1.45138888888889,0
3,49,1,0.6,0.675,1,1.54166666666667,0
3,34, , ,0.75,1,1.63888888888889,0
3,52, , ,0.4,0,0.763888888888889,0
3,51, , ,0.475,1,0.805555555555556,0
3,62,0,0,0.45,0,0.869444444444444,0
3,43, , ,0.5,0,1.00555555555556,0
1,39, , ,0.6,0,1.03333333333333,0
3,29,1,0.4,0.55,0,1.08333333333333,0
3,60, , ,0.275,1,1.09027777777778,0
3,40,0.4,0.4,0.325,1,1.16666666666667,0
3,60, , ,0.475,1,1.17222222222222,0
3,39, , ,0.325,1,1.18611111111111,0
3,48, , ,0.425,0,1.21527777777778,0
3,61,0.8,0.6,0.45,0,1.24305555555556,0
3,37,1,0.4,0.55,0,1.28888888888889,0
3,38, , ,0.55,1,1.31944444444444,0
3,44,1,0,0.5,0,1.325,0
3,40,1,1,0.55,1,1.375,0
3,47,1,0.6,0.525,0,1.375,0
2,45, , ,0.575,0,1.42222222222222,0
3,34,1,0,0.4,1,1.47222222222222,0
2,39, , ,0.525,0,1.55555555555556,0
3,28,1,1,0.675,1,1.55555555555556,0
3,42,1,1,0.725,0,1.61111111111111,0
3,38,0.8,0.8,0.4,1,1.61111111111111,0
3,38,0.4,0,0.4,0,0.527777777777778,0
3,43,0,0,0.45,0,0.733333333333333,0
3,40, , ,0.45,0,0.819444444444444,0
3,28,0,0,0.4,0,0.833333333333333,0
3,51,0.2,0,0.475,0,0.838888888888889,0
3,49, , ,0.6,0,0.838888888888889,0
3,62, , ,0.425,1,0.861111111111111,0
3,49, , ,0.475,0,0.895833333333333,0
3,57, , ,0.3,0,0.895833333333333,0
3,62, , ,0.4,0,0.916666666666667,0
2,46,0,0,0.5,0,0.955555555555555,0
3,51, , ,0.5,0,0.986111111111111,0
3,55,0,0.2,0.325,0,1.04027777777778,0
3,46, , ,0.325,0,1.05416666666667,0
3,62, , ,0.6,0,1.06111111111111,0
1,54,0,0,0.45,0,1.0625,0
2,47,0,0,0.225,0,1.06944444444444,0
3,42,0,0,0.325,0,1.075,0
3,40,0.4,0.2,0.5,0,1.08888888888889,0
3,38,0,0,0.5,0,1.10416666666667,0
3,54, , ,0.375,0,1.11111111111111,0
3,45, , ,0.425,0,1.11527777777778,0
2,42,0.8,0.6,0.525,0,1.125,0
3,50,0.4,0,0.45,0,1.13888888888889,0
2,52,0.2,0,0.4,0,1.13888888888889,0
3,51, , ,0.475,0,1.14444444444444,0
3,58, , ,0.425,0,1.14444444444444,0
3,58,0.2,0,0.25,0,1.15277777777778,0
2,50,0,0,0.525,0,1.16666666666667,0
3,43, , ,0.5,1,1.16666666666667,0
1,63,1,1,0.425,0,1.19444444444444,0
3,48, , ,0.5,0,1.20138888888889,0
3,42,0.4,0,0.35,0,1.22083333333333,0
3,47,0,0,0.475,0,1.22222222222222,0
3,37, , ,0.425,0,1.22222222222222,0
3,47, , ,0.425,0,1.24305555555556,0
3,47,0.6,0.4,0.5,0,1.27638888888889,0
3,39, , ,0.4,1,1.27777777777778,0
3,41, , ,0.6,0,1.27777777777778,0
3,54,0.6,0.4,0.475,0,1.27777777777778,0
3,46, , ,0.575,0,1.29027777777778,0
3,30,0.8,0,0.55,0,1.29166666666667,0
3,52,0.8, ,0.5,0,1.29861111111111,0
3,50, , ,0.675,1,1.30555555555556,0
1,46,0.6,0.2,0.75,0,1.30555555555556,0
3,47,0.6,0.2,0.45,0,1.30555555555556,0
3,26, , ,0.45,0,1.31944444444444,0
1,61, , ,0.4,0,1.31944444444444,0
3,51, , ,0.575,0,1.32638888888889,0
3,34,1,0.4,0.55,0,1.33333333333333,0
3,43,0,0,0.575,0,1.33888888888889,0
3,31, , ,0.4,1,1.33888888888889,0
3,56, , ,0.525,0,1.34722222222222,0
3,39,0.8,0.6,0.625,0,1.34722222222222,0
1,54, , ,0.575,1,1.35277777777778,0
3,40,1,1,0.5,0,1.35277777777778,0
1,38, , ,0.575,0,1.35416666666667,0
3,56,0.4,0,0.425,0,1.38888888888889,0
3,50,1,1,0.275,0,1.39444444444444,0
3,61, , ,0.55,1,1.41666666666667,0
3,53,0.4,0,0.55,0,1.43055555555556,0
3,49,0.8,0.4,0.6,1,1.45,0
3,29,0.2,0.2,0.575,1,1.45138888888889,0
3,38, , ,0.475,1,1.45833333333333,0
1,41, , ,0.45,0,1.47916666666667,0
3,40,0.2,0,0.45,1,1.47916666666667,0
3,48,1,0,0.575,0,1.47916666666667,0
3,45,0.4,0.4,0.45,0,1.49166666666667,0
3,44, , ,0.5,1,1.5,0
3,38, , ,0.475,0,1.5,0
3,44, , ,0.675,1,1.5,0
